Timestamp,Social Media Used,Join date,Satisfaction with site quality (1-10),,Specific complaints?
4/3/2024 10:51:18,/jp/,2021-2024,8,,Sometimes popular generals like monster-girl-thread get spammed with off-topic or anger-inducing images that make people argue and make the thread overall less enjoyable.
4/3/2024 11:16:35,/lgbt/,2021-2024,7,,"Dogshit filler threads, boring chuds, jewish bot threads"
4/3/2024 11:19:04,Random,2015-2020,6,,"There is an excess of pornography, as opposed to actually interesting stuff that used to put it in the news."
4/3/2024 11:27:29,politics ,2021-2024,10,,politics 
4/3/2024 11:34:55,Random,2015-2020,7,,Dated UI (personal issue)
4/3/2024 12:31:32,/pol/,2021-2024,8,,Needs more TKD threads
4/3/2024 12:34:26,4chan ,2000-2004,1,,racism 
4/3/2024 12:44:49,PW,2010-2014,10,,Nope
4/3/2024 12:49:18,"b, soc, s",2015-2020,6,,Mods
4/3/2024 13:08:36,/co/,2015-2020,3,,"Shitty moderation, low quality posts, far too toxic"
4/3/2024 13:19:51,4chan ,2000-2004,1,,racism 
4/3/2024 13:44:43,po,2000-2004,1,,honeypot
4/3/2024 21:11:19,b,2015-2020,3,,boring
4/3/2024 23:29:49,Cutting board ,2010-2014,9,,It stinks
4/3/2024 23:30:48,/v/ /g/ /bant/ /jp/,2015-2020,6,,repetitive shit
4/4/2024 0:13:12,"hentai, outdoors and nature, torrents, lgbt",2010-2014,6,,"Confusing to navigate for beginners.
filled with incels on specific boards."
4/4/2024 0:15:04,/b/,2021-2024,8,,Too much BBC / tribute / 
4/4/2024 2:50:38,/b/,2015-2020,3,,Too many explict threads. Not enough Andy Sixx Log threads ;)
4/4/2024 3:17:26,b,2015-2020,4,,u
4/4/2024 10:43:41,4chan,2010-2014,8,,Too many people
4/4/2024 11:27:09,Not enough normal content,2015-2020,5,,Difficult to learn
4/4/2024 11:32:20,what,2010-2014,7,,site layout is mediocre at best and it's easy to find illegal imagery 
4/4/2024 13:35:00,instagram,2021-2024,6,,they encourage constant scrolling 
4/4/2024 13:35:22,"Instagram, TikTok, and Snapchat.",2021-2024,10,,No.
4/4/2024 13:35:26,"Instagram, Tiktok",2015-2020,8,,Social media is a trap for constant scrolling
4/4/2024 13:35:55,instagram,2015-2020,10,,no amazing survery
4/4/2024 13:35:56,Instagram,2015-2020,9,,None
4/4/2024 13:36:21,"YouTube, ",2010-2014,8,,"YouTube shorts, should have a restrictive block   "
4/4/2024 13:36:31,Tiktok,2015-2020,10,,No
4/4/2024 13:36:43,Instagram,2015-2020,8,,None
4/4/2024 13:36:58,Instagram,2015-2020,10,,No complaints
4/4/2024 13:37:08,Tiktok ,2015-2020,10,,No
4/4/2024 13:37:34,All of them!,2021-2024,10,,No complaints it looks amazing
4/4/2024 13:38:06,"Instagram, YouTube",2015-2020,5,,No
4/4/2024 13:38:16,Instagram,2015-2020,4,,Nope
4/4/2024 13:38:20,Youtube,2010-2014,6,,Too many ads
4/4/2024 13:38:22,Tiktok,2010-2014,5,,too many ads
4/4/2024 13:38:37,Twitter,2015-2020,6,,I hate elon musk
4/4/2024 13:39:44,Tiktok,2010-2014,10,,Bad Influence 
4/4/2024 13:40:28,Instagram,2015-2020,9,,It doesn’t roll out updates for everyone and removes some of my features sometimes. Its randomly buggy
