Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,Day
2014-03-03T08:00:00.000Z,89.49,91.36,88.87,90.53,0.21,-0.13,"154,509,700",0
2014-03-10T07:00:00.000Z,90.48,91.06,88.63,88.67,-2.05,-2.39,"160,867,500",1
2014-03-17T07:00:00.000Z,89.24,90.66,88.83,89,0.37,0.03,"194,975,300",2
2014-03-24T07:00:00.000Z,89.32,89.39,86.4,87.05,-2.19,-2.53,"265,068,600",3
2014-03-31T07:00:00.000Z,87.73,89.68,86.14,86.37,-0.78,-1.12,"268,772,000",4
2014-04-07T07:00:00.000Z,85.83,87.88,83.91,84.11,-2.62,-2.95,"348,493,700",5
2014-04-14T07:00:00.000Z,84.85,86.63,83.28,86.2,2.48,2.15,"231,822,600",6
2014-04-21T07:00:00.000Z,86.4,88.21,85.98,86.19,-0.01,-0.35,"192,178,300",7
2014-04-28T07:00:00.000Z,86.6,88.15,85.11,87.49,1.51,1.17,"211,257,300",8
2014-05-05T07:00:00.000Z,86.97,87.97,85.53,86.8,-0.79,-1.13,"210,750,400",9
2014-05-12T07:00:00.000Z,87.32,88.61,86.58,87.71,1.05,0.71,"222,231,000",10
2014-05-19T07:00:00.000Z,87.45,89.9,87.3,89.88,2.47,2.14,"155,875,100",11
2014-05-27T07:00:00.000Z,90.28,91.45,90.2,91.31,1.59,1.25,"123,135,800",12
2014-06-02T07:00:00.000Z,91.42,92.82,90.64,92.82,1.65,1.32,"130,566,400",13
2014-06-09T07:00:00.000Z,92.84,93.02,91.73,92.32,-0.54,-0.88,"141,626,700",14
2014-06-16T07:00:00.000Z,92.16,93.1,91.96,92.77,0.49,0.15,"105,601,700",15
2014-06-23T07:00:00.000Z,92.76,93.77,92.43,93.75,1.06,0.72,"131,044,000",16
2014-06-30T07:00:00.000Z,93.73,95.7,93.67,95.7,2.08,1.74,"85,683,400",17
2014-07-07T07:00:00.000Z,95.59,95.71,93.63,95.27,-0.45,-0.79,"157,609,400",18
2014-07-14T07:00:00.000Z,95.7,96.3,94.32,96.12,0.89,0.55,"160,892,800",19
2014-07-21T07:00:00.000Z,95.92,97.51,95.55,96.74,0.65,0.31,"139,074,700",20
2014-07-28T07:00:00.000Z,96.84,97.32,94.04,94.67,-2.14,-2.48,"198,730,000",21
2014-08-04T07:00:00.000Z,94.87,95.69,93.89,94.9,0.24,-0.1,"191,505,100",22
2014-08-11T07:00:00.000Z,95.27,97.63,94.93,97.4,2.63,2.3,"164,638,400",23
2014-08-18T07:00:00.000Z,97.91,99.25,97.77,99.05,1.69,1.36,"127,768,800",24
2014-08-25T07:00:00.000Z,99.52,99.91,99.08,99.78,0.74,0.4,"101,284,400",25
2014-09-02T07:00:00.000Z,100.02,100.34,99.03,99.89,0.11,-0.23,"99,739,200",26
2014-09-08T07:00:00.000Z,99.92,100.46,99.06,99.48,-0.41,-0.75,"152,236,900",27
2014-09-15T07:00:00.000Z,99.59,100.56,98.05,99.98,0.5,0.16,"185,450,300",28
2014-09-22T07:00:00.000Z,99.74,99.89,97.7,98.78,-1.2,-1.54,"243,355,300",29
2014-09-29T07:00:00.000Z,97.8,99.3,95.97,98.17,-0.62,-0.96,"229,471,000",30
2014-10-06T07:00:00.000Z,98.48,98.76,94.42,94.44,-3.8,-4.14,"286,200,800",31
